TotalCharges,tenure,MonthlyCharges,InternetService_Fiber optic,PaperlessBilling_Yes,PaymentMethod_Electronic check,Partner_Yes,SeniorCitizen,Dependents_Yes,OnlineSecurity_Yes,TechSupport_Yes,PaymentMethod_Mailed check,Contract_One year,StreamingMovies_No internet service,StreamingMovies_Yes
-0.8362552972334064,-1.1145631287986442,0.5131066631323666,1,0,1,0,0,0,0,0,0,0,0,0
-0.9083004678430808,-1.1960038562387048,0.7341256641544608,1,1,1,0,1,0,0,0,0,0,0,0
-0.9101534361012598,-1.1960038562387048,0.3452651661155883,1,1,0,1,0,0,0,0,0,0,0,0
1.1326558319573743,1.125056875803025,0.5247392421335293,0,0,0,0,0,0,0,1,0,1,0,1
-0.5112358410904361,-0.8295205827584317,1.1346187411944968,1,1,0,0,0,0,1,1,0,0,0,1
-0.4234404402862401,1.3286586944031769,-1.5093002860698053,0,0,0,1,0,0,0,0,0,0,1,0
-0.8518952316982745,-0.5851984004382496,-1.520932865070968,0,0,1,0,0,0,0,0,0,0,1,0
-0.7834015835834434,-0.9924020376385532,-0.0219919709211252,0,0,0,0,0,0,0,1,1,0,0,1
-0.7240624810298536,-0.055833672077855,-1.4727407520661506,0,0,0,0,0,0,0,0,1,0,1,0
-0.263004271932241,1.369379058123207,-1.3165318340505352,0,1,0,0,0,0,0,0,0,0,1,0
-0.9967576430251978,-1.2774445836787656,-1.4727407520661506,0,1,0,0,0,0,0,0,1,0,1,0
-0.819380050596419,-0.4223169455581282,-1.5009913010689746,0,0,0,0,0,0,0,0,1,1,1,0
-0.3771382929776956,1.4508197855632678,-1.4710789550659844,0,0,0,0,0,0,0,0,0,0,1,0
-0.5809648013773866,-0.5444780367182193,-0.5039131009693008,0,1,0,1,0,1,0,0,0,0,0,0
-0.9790220896969128,-1.1960038562387048,-1.4993295040688086,0,0,0,1,0,1,0,0,1,0,1,0
1.6779799785102707,1.6137012404433893,0.6809481601491449,0,1,1,1,0,0,1,0,0,0,0,1
-0.9816691872085972,-1.2774445836787656,-0.3360716039525224,0,1,1,0,0,0,0,0,0,0,0,0
-0.9970444119222968,-1.2774445836787656,-1.4943441130683104,0,0,0,0,0,0,0,0,0,0,1,0
2.3813579056566496,1.6137012404433893,1.39884446422091,1,1,0,1,1,0,1,0,0,1,0,1
-0.2116285210596349,-0.2594354906780068,0.1574821050968162,0,1,0,0,0,0,1,0,0,0,0,0
-0.9390288581245492,-1.1960038562387048,-0.4690153639658123,0,1,0,0,0,0,0,0,1,0,0,0
