,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
PC1,0.037037104400810476,0.3386920947444255,0.49974182428308045,0.4945573159981534,-0.00666947212968568,0.06694800120014477,-0.009512704442574904,0.01140588303351962,-0.011405883033519627,0.13742556702964756,0.15619048367690583,-0.16470819413532484,-0.16470819413532484,0.10881319628860286,-0.1647081941353248,0.14763415066190344,-0.16470819413532484,0.1562916174060407,-0.1647081941353248,0.11687076466739481,-0.16470819413532484,0.17225021511486538,-0.1647081941353248,0.1726454412357816,0.021819163612117796,0.03630699607518789,0.08402474890254569,0.02871658170462838,0.036495894438727416,-0.09652722022839663
PC2,-0.04880240017442131,0.6096670469767695,-0.2797952113165505,0.33901609955495704,-0.0009375557268687667,0.1481948121870744,0.11135272888761574,0.009546178642212544,-0.009546178642212546,0.033535800921038326,-0.16325028346449239,0.19206497966484087,0.19206497966484085,0.04742521684893041,0.19206497966484087,0.02857620591457394,0.19206497966484085,0.025686615686647398,0.1920649796648409,0.042297350777959764,0.19206497966484082,-0.033890160400797203,0.19206497966484087,-0.02737187376951134,0.06323208239047216,0.2204993823028204,-0.11210751075039815,0.0815297938841835,-0.179070494788644,0.02920226871829994
PC3,0.08844902430176063,-0.07835596101575626,0.3121172236336292,0.08074126722590083,0.006897750812438323,-0.011814540621196846,-0.07501985580000697,0.29185552945516796,-0.2918555294551679,0.30271119799324586,0.3769202781348305,0.19498561952699436,0.1949856195269943,-0.2615811593952311,0.19498561952699434,-0.11483241193546165,0.19498561952699434,-0.09073101465117152,0.19498561952699428,-0.2480457969094775,0.1949856195269942,0.06112688551680397,0.19498561952699425,0.04557423412269339,-0.03952670956092963,-0.056886476709246375,0.10709602195458325,-0.07243304525383751,0.1545427612505968,-0.05921251855717959
PC4,-0.13594327877020795,-0.23282997492420676,0.14444547826073,-0.0986327867986163,-0.020605037057917625,0.6315675237334056,0.6442983674554266,0.08632843485146721,-0.0863284348514672,0.03737603355693426,0.015704374443707425,0.0017888080290341967,0.0017888080290342384,0.06496397461326389,0.0017888080290340718,-0.044681743325989946,0.0017888080290342106,0.05634508709546528,0.0017888080290341946,0.06841757036357353,0.0017888080290344444,0.08550874583229075,0.0017888080290342362,0.04937190974966885,-0.046968463260098736,0.0621069243606538,-0.13115431318661464,-0.0420803581251316,-0.07910366057127852,0.10299648746117517
PC5,0.15022920710777604,0.2609523674774129,-0.21707536307858064,-0.07499898747130043,0.05786353633183279,0.32759902944688885,0.13278758908053787,-0.17528075955798572,0.17528075955798544,-0.011341203817950103,0.008939646803591906,-0.051604921412446,-0.05160492141244607,-0.16889236405547134,-0.05160492141244588,-0.047687402884315305,-0.05160492141244601,-0.13044483087875317,-0.05160492141244597,-0.26022259624707506,-0.0516049214124462,-0.056853358304755686,-0.05160492141244596,-0.07887232006948652,-0.08344811221576609,-0.011256423238368632,0.3246358351059077,-0.12911321004770182,0.506090920713029,-0.37111917690281765
PC6,0.01642162177787805,-0.0008663788802692977,0.007113698005106781,0.03108850858472477,0.9812179305889169,-0.0011901297747711423,0.03324021515140981,0.0127453622815623,-0.012745362281562094,-0.024577548822578375,0.00911248553034036,-0.007406251858726241,-0.007406251858725953,-0.035849944438067,-0.007406251858726166,0.005674581025942513,-0.007406251858726116,0.019631532547886875,-0.007406251858726255,-0.02534851151716793,-0.007406251858726188,0.0030051649164050363,-0.007406251858726371,-0.022966997288192414,0.11171143956056295,-0.09352195002863109,-0.07792340329547791,0.0025731798302712564,-0.040326321463628176,0.04011241301277695
PC7,-0.04094418780792433,-0.08969161514769369,0.0003421661782746253,-0.0045044452232008555,0.015037879914307845,-0.05369036548690693,-0.023752861870812738,-0.1783467576536858,0.17834675765368588,-0.27642526093076536,-0.14266017043032345,0.09882295141634148,0.0988229514163415,-0.16304893175490062,0.09882295141634143,-0.1141619933194144,0.09882295141634152,0.2975153970349947,0.0988229514163414,0.11237004200087485,0.09882295141634154,0.514704789074796,0.0988229514163414,0.5225932970190247,0.0909288531292418,0.00967733850437088,0.13506583048310572,-0.1579077869688634,0.16234575814960667,0.034134308077675334
PC8,0.002767415099747781,0.03499525967565335,-0.03215731649645135,0.11244686485330489,-0.15465765473785859,0.08838598467472589,0.04731385303531132,0.01432490569832458,-0.014324905698324498,-0.09013229378053665,0.023524750386656395,0.005890745899819136,0.005890745899819299,0.013484546185616179,0.005890745899819197,0.12039464255232865,0.005890745899819292,-0.028884297665107896,0.005890745899819133,-0.07961330085374424,0.005890745899819289,-0.06587570938421816,0.005890745899819245,-0.07258945284480008,0.7360160861393694,-0.5495301364027553,-0.10157170173089736,-0.1962894500559098,0.08932191082680868,0.09901070594683865
PC9,0.011170875639141358,-0.05405971680595138,-0.0020092081521896872,-0.07883650235976127,-0.017955028058529082,0.06752639570726912,0.07338324685968402,-0.022688789597269252,0.02268878959726916,-0.032039895855425896,0.026692166259499342,0.0085440810925246,0.008544081092524473,-0.1351031730759888,0.008544081092524865,-0.03716510141564258,0.008544081092524889,0.03657474720467663,0.008544081092524648,-0.05550022259143779,0.008544081092524773,0.06408853155919617,0.00854408109252462,0.04099167032376997,0.21745731400112603,-0.15438240753269444,0.42953596532790217,0.6855611288263168,-0.38295179681587355,-0.2740036105368964
PC10,0.0016107059262815897,-0.010987310151053791,-0.0333356912045475,0.07411269800000489,0.0371197017345241,0.01592271479666544,0.04713391708651007,0.005688125764213247,-0.005688125764213824,-0.004821475287315545,-0.01671074080152281,0.0056842040500278915,0.005684204050028034,0.01990827852646042,0.00568420405002799,0.21341956639532128,0.005684204050027933,-0.13184582336713593,0.005684204050028003,0.04943700724026723,0.005684204050028011,-0.04847656051988587,0.005684204050027952,-0.07877400706672263,-0.07116515823039411,0.013058304599212294,0.7243499588892154,-0.3246477193279074,-0.22457718972919596,0.47827869302078235
PC11,0.07898383230300234,-0.07918277716416822,0.04131928922628679,0.03273241186032044,-0.022944161752444403,0.035181093463283346,0.029633538975966826,-0.03649255902196335,0.03649255902196365,-0.33614210598231925,0.10694056998377563,0.03212341486547063,0.032123414865470504,-0.29229288804787906,0.032123414865470504,0.8038569447707824,0.03212341486547055,-0.03191164124235347,0.032123414865470504,-0.19649990120173735,0.03212341486547049,0.04121812030501758,0.03212341486547061,0.0007219968803069236,-0.16453875544561966,0.04293525943283718,-0.1915901602032035,0.08775799681551374,-0.02702649302383792,-0.027382143218263433
PC12,-0.33544769596941554,-0.10473071006999718,0.023082724302137488,-0.04223662205568302,0.058633122501108366,-0.23519029915482603,0.18107273668029503,0.128361999189921,-0.1283619991899211,0.1449560741430661,-0.19989445317157886,0.06328904582568985,0.06328904582569,0.22780519323903772,0.06328904582568978,0.33864119925281666,0.06328904582568992,-0.20420136652156018,0.0632890458256899,0.4231367325952224,0.0632890458256901,0.04761293059526721,0.06328904582569,-0.0431500317468428,0.09411840613253632,0.0239526991243959,0.16952997202460945,0.04710330677890419,0.3405839655541771,-0.33593791552554303
PC13,0.19151564558183864,-0.10566204087074131,-0.11225372985167698,-0.10003237271145206,0.0012189685057413609,0.09917920069042704,-0.09944368665766512,-0.15975231456223876,0.15975231456223876,0.7799131713338241,-0.29302218415418146,-0.005892034224149392,-0.0058920342241493085,-0.15576765202799234,-0.00589203422414951,0.2723535112167193,-0.005892034224149295,0.15486101824934517,-0.005892034224149564,-0.008527336829080079,-0.005892034224149478,0.03688559031114232,-0.005892034224149516,0.14684440446919714,0.04495689453949234,-0.05755756558093936,-0.07825511601477837,-0.01015909528858923,-0.06157080812189117,0.06034230298030347
PC14,-0.017655067211591834,-0.07501638537553484,-0.0014557442409687535,-0.00960739789999447,0.004266375996443574,0.056049260619444215,-0.06732558523207216,0.10043905395314837,-0.10043905395314856,-0.07159265871731074,0.007730818467001189,0.033273968477392564,0.03327396847739258,-0.022179034709549822,0.03327396847739251,0.06987553844932697,0.033273968477392696,0.8381337645319956,0.03327396847739257,0.10174234106357816,0.033273968477392696,-0.34043960623288083,0.03327396847739278,-0.26337908957594636,-0.011154157420810495,0.024279328876076128,0.1507898265387197,-0.04066842812930901,0.1313558217779602,-0.08567937417483255
PC15,0.48481493942589976,-0.15695203945591094,0.04265752460535091,-0.01832026184640619,0.0391558906972142,0.3114851502345974,-0.30600324488277797,0.03633887223580437,-0.03633887223580419,-0.11809078433638401,-0.06871343758515695,0.07676008711371912,0.07676008711371934,0.6659262260300418,0.0767600871137191,0.1049803884160305,0.07676008711371937,-0.04856115126217661,0.07676008711371904,-0.04149180284670787,0.07676008711371929,0.056677989615953245,0.07676008711371893,0.08016383631939783,-0.014230503747791029,-0.004842507983546813,0.053836709082878784,0.06430314693342454,0.04562757817634486,-0.07668222289858467
PC16,0.3003978089052405,0.0169775349069549,0.014848209451651407,-0.030799767525227006,-0.002139601072170447,0.29048337852152756,-0.2483850290500956,0.07391280155432793,-0.07391280155432794,-0.11130839134338343,0.023366182300483623,-0.006013002604855038,-0.006013002604855608,-0.42864104965210625,-0.006013002604855287,-0.061147760463932194,-0.006013002604855256,-0.19184410196976773,-0.006013002604855001,0.7067538223917695,-0.00601300260485514,-0.06980099349273389,-0.006013002604855162,-0.06679497816591357,0.04401447380204817,0.012744276563531455,-0.045687534598481974,-0.016297337310685733,-0.010460174206515566,-0.020870220346629526
PC17,-0.13210347786986928,0.003533937975980006,0.016839515058770863,-0.006061307814937534,0.024595132767417902,0.05270375304999754,-0.028546077412346764,0.02088198484317052,-0.02088198484317039,-0.049323025785577304,0.016215981656160318,0.0008055861231583023,0.0008055861231584619,0.0029976526979637397,0.0008055861231585113,0.02733822322252944,0.0008055861231583986,-0.08321043363707789,0.0008055861231583286,-0.006053512599173849,0.0008055861231583096,-0.6831678262216485,0.0008055861231582289,0.7061927233218132,-0.0003271764029879132,-0.003313858724496626,0.02778992553877821,0.010124336440154069,0.01396460495310237,-0.014889753776382636
