Principal Component,Explained Variance Ratio,Cumulative Explained Variance
PC1,0.42691978713414863,0.42691978713414863
PC2,0.20785356225292548,0.6347733493870741
PC3,0.05389246268866585,0.68866581207574
PC4,0.04216593109013429,0.7308317431658743
PC5,0.036720160472730246,0.7675519036386045
PC6,0.031513178215745764,0.7990650818543502
PC7,0.0302516118311756,0.8293166936855259
PC8,0.028923232118300383,0.8582399258038262
PC9,0.027242285490712472,0.8854822112945387
PC10,0.02050975125770399,0.9059919625522428
PC11,0.019204345079707492,0.9251963076319503
PC12,0.01816856941994792,0.9433648770518982
PC13,0.015875865501185846,0.959240742553084
